folio,texto,fecha_presentacion,score_presentacion,agenda_presentacion_id,punto_presentacion_id,num_ramas_nivel1,via,expediente_id,punto_destino_id,tipo_evento_real,fecha_real_destino,fecha_evento_excel,status_destino,cierre_encontrado,fecha_cierre_real,fecha_aprobacion_excel,estado_excel,confianza
782,"Iniciativa con Proyecto de Decreto por el que se adicionan u",2025-09-24,1.000,77,921,1,expediente,132,3027,Comisión,2026-04-08,2026-04-08,2,no,,2026-04-09,Aprobada,alta
783,"Iniciativa con Proyecto de Decreto, mediante la cual se adic",2025-09-24,0.810,77,922,0,,,,,,,,no,,,En estudio,media
784,"Iniciativa con Proyecto de Decreto por el que se reforman y ",2025-09-24,,,,,,,,,,,,,,,En estudio,sin_match
785,"Iniciativa con Proyecto de Decreto por la que se reforma el ",2025-09-24,0.518,77,924,0,,,,,,,,no,,,En estudio,media
786,"Iniciativa de Decreto por el que se reforman diversas dispos",2025-09-24,,,,,,,,,,,,,,,En estudio,sin_match
787,"Iniciativa con Proyecto de Decreto por el que se expide la L",2025-09-24,0.494,77,926,0,,,,,,,,no,,,En estudio,baja
788,"Iniciativa con Proyecto de Decreto por el que se adicionan d",2025-09-24,0.476,77,927,0,,,,,,,,no,,,En estudio,baja
789,"Iniciativa con Proyecto de Decreto que adiciona el Capítulo ",2025-09-24,0.421,77,928,0,,,,,,2026-04-21,,no,,2026-04-22,Aprobada,baja
790,"Iniciativa que reforma el segundo párrafo del artículo 67 y ",2025-09-24,0.714,77,929,0,,,,,,,,no,,,En estudio,media
791,"Iniciativa con Proyecto de Decreto por el que se adicionan l",2025-09-24,0.737,77,930,0,,,,,,,,no,,,Precluida,media
792,"Iniciativa para que el dulce típico de Alfeñique de Toluca s",2025-10-01,0.838,78,945,1,directo,,2300,Comisión,2025-10-13,2025-10-13,2,no,,2025-10-15,Aprobada,alta
793,"Iniciativa a través de la cual el Congreso del Estado de Méx",2025-10-01,0.851,78,946,0,,,,,,,,no,,,En estudio,media
794,"Iniciativa de Decreto por el cual se reforman y adicionan di",2025-10-01,0.610,78,947,0,,,,,,,,no,,,En estudio,media
795,"Iniciativa con Proyecto de Decreto por el que se adiciona el",2025-10-01,0.617,78,948,0,,,,,,,,no,,,En estudio,media
796,"Iniciativa con Proyecto de Decreto por el que se reforma el ",2025-10-01,0.758,78,949,3,directo,,1718,Comisión,2026-02-24,2026-02-24,1,no,,2026-03-11,Aprobada,alta
797,"Iniciativa “Mariana Lima Buendía” con Proyecto de Decreto po",2025-10-01,0.617,78,950,1,directo,,3159,Comisión,2026-04-23,2026-04-23,1,no,,,En estudio,alta
798,"Iniciativa con Proyecto de Decreto por el que se reforman y ",2025-10-01,0.556,78,951,1,directo,,2304,Comisión,2025-10-14,2025-10-14,1,no,,2025-12-03,Aprobada,alta
799,"Iniciativa con Proyecto de Decreto que reforma diversos artí",2025-10-01,0.813,78,952,0,,,,,,,,no,,,En estudio,media
