id_iniciativa,ruta_iniciativa,ruta_decreto
69,storage/iniciativas/TABLAS-iniciativa.doc,storage/decretos/DECRETO 54.pdf
70,storage/iniciativas/TABLAS-iniciativa.doc,storage/decretos/DECRETO 54.pdf
71,storage/iniciativas/TABLAS-iniciativa.doc,storage/decretos/DECRETO 54.pdf
72,storage/iniciativas/TABLAS-iniciativa.doc,storage/decretos/DECRETO 54.pdf
73,storage/iniciativas/TABLAS-iniciativa.doc,storage/decretos/DECRETO 54.pdf
74,storage/iniciativas/TABLAS-iniciativa.doc,storage/decretos/DECRETO 54.pdf
75,storage/iniciativas/TABLAS-iniciativa.doc,storage/decretos/DECRETO 54.pdf
76,storage/iniciativas/TABLAS-iniciativa.doc,storage/decretos/DECRETO 54.pdf
77,storage/iniciativas/TABLAS-iniciativa.doc,storage/decretos/DECRETO 54.pdf
78,storage/iniciativas/TABLAS-iniciativa.doc,storage/decretos/DECRETO 54.pdf
79,storage/iniciativas/TABLAS-iniciativa.doc,storage/decretos/DECRETO 54.pdf
80,storage/iniciativas/TABLAS-iniciativa.doc,storage/decretos/DECRETO 54.pdf
81,storage/iniciativas/TABLAS-iniciativa.doc,storage/decretos/DECRETO 54.pdf
82,storage/iniciativas/TABLAS-iniciativa.doc,storage/decretos/DECRETO 54.pdf
83,storage/iniciativas/TABLAS-iniciativa.doc,storage/decretos/DECRETO 54.pdf
84,storage/iniciativas/TABLAS-iniciativa.doc,storage/decretos/DECRETO 54.pdf
85,storage/iniciativas/TABLAS-iniciativa.doc,storage/decretos/DECRETO 54.pdf
86,storage/iniciativas/TABLAS-iniciativa.doc,storage/decretos/DECRETO 54.pdf
87,storage/iniciativas/TABLAS-iniciativa.doc,storage/decretos/DECRETO 54.pdf
88,storage/iniciativas/TABLAS-iniciativa.doc,storage/decretos/DECRETO 54.pdf
89,storage/iniciativas/TABLAS-iniciativa.doc,storage/decretos/DECRETO 54.pdf
90,storage/iniciativas/TABLAS-iniciativa.doc,storage/decretos/DECRETO 54.pdf
91,storage/iniciativas/TABLAS-iniciativa.doc,storage/decretos/DECRETO 54.pdf
92,storage/iniciativas/TABLAS-iniciativa.doc,storage/decretos/DECRETO 54.pdf
93,storage/iniciativas/TABLAS-iniciativa.doc,storage/decretos/DECRETO 54.pdf
94,storage/iniciativas/TABLAS-iniciativa.doc,storage/decretos/DECRETO 54.pdf
95,storage/iniciativas/TABLAS-iniciativa.doc,storage/decretos/DECRETO 54.pdf
96,storage/iniciativas/TABLAS-iniciativa.doc,storage/decretos/DECRETO 54.pdf
97,storage/iniciativas/TABLAS-iniciativa.doc,storage/decretos/DECRETO 54.pdf
98,storage/iniciativas/TABLAS-iniciativa.doc,storage/decretos/DECRETO 54.pdf
